price;Storage_Level;Feed_in;Feed_out;hourly_profit;profit_acc;
    35.00000;     0.25011;     0.25000;     0.00000;   -10.60606;   140.82734;
    34.00000;     0.50009;     0.25000;     0.00000;   -10.30303;   130.52431;
    36.00000;     0.75005;     0.25000;     0.00000;   -10.90909;   119.61522;
    36.00000;     1.00000;     0.25000;     0.00000;   -10.90909;   108.70613;
    49.00000;     1.00000;     0.00007;     0.00000;    -0.00416;   108.70197;
    54.00000;     0.99993;     0.00000;     0.00000;     0.00000;   108.70197;
    57.00000;     0.99986;     0.00000;     0.00000;     0.00000;   108.70197;
    56.00000;     0.99979;     0.00000;     0.00000;     0.00000;   108.70197;
    58.00000;     0.99972;     0.00000;     0.00000;     0.00000;   108.70197;
    60.00000;     0.75026;     0.00000;     0.24939;    14.96325;   123.66522;
    55.00000;     0.75021;     0.00000;     0.00000;     0.00000;   123.66522;
    54.00000;     0.75016;     0.00000;     0.00000;     0.00000;   123.66522;
    53.00000;     0.75011;     0.00000;     0.00000;     0.00000;   123.66522;
    67.00000;     0.50005;     0.00000;     0.25000;    16.75000;   140.41522;
    86.00000;     0.25002;     0.00000;     0.25000;    21.50000;   161.91522;
    70.00000;     0.00000;     0.00000;     0.25000;    17.50000;   179.41522;
    56.00000;     0.00000;     0.00000;     0.00000;     0.00000;   179.41522;
    50.00000;     0.00000;     0.00000;     0.00000;     0.00000;   179.41522;
    43.00000;     0.00000;     0.00000;     0.00000;     0.00000;   179.41522;
    49.00000;     0.00000;     0.00000;     0.00000;     0.00000;   179.41522;
    45.00000;     0.00000;     0.00000;     0.00000;     0.00000;   179.41522;
    43.00000;     0.00000;     0.00000;     0.00000;     0.00000;   179.41522;
    40.00000;     0.00011;     0.00011;     0.00000;    -0.00509;   179.41013;
    38.00000;     0.25011;     0.25000;     0.00000;   -11.51515;   167.89498;
    38.00000;     0.50009;     0.25000;     0.00000;   -11.51515;   156.37983;
    35.00000;     0.75005;     0.25000;     0.00000;   -10.60606;   145.77377;
    38.00000;     1.00000;     0.25000;     0.00000;   -11.51515;   134.25862;
    44.00000;     1.00000;     0.00007;     0.00000;    -0.00373;   134.25488;
    57.00000;     0.99993;     0.00000;     0.00000;     0.00000;   134.25488;
    65.00000;     0.74986;     0.00000;     0.25000;    16.25000;   150.50488;
    64.00000;     0.49981;     0.00000;     0.25000;    16.00000;   166.50488;
    62.00000;     0.24977;     0.00000;     0.25000;    15.50000;   182.00488;
    59.00000;     0.00000;     0.00000;     0.24976;    14.73555;   196.74043;
    51.00000;     0.00000;     0.00000;     0.00000;     0.00000;   196.74043;
    50.00000;     0.00000;     0.00000;     0.00000;     0.00000;   196.74043;
    45.00000;     0.00000;     0.00000;     0.00000;     0.00000;   196.74043;
    42.00000;     0.00000;     0.00000;     0.00000;     0.00000;   196.74043;
    42.00000;     0.00000;     0.00000;     0.00000;     0.00000;   196.74043;
    49.00000;     0.00000;     0.00000;     0.00000;     0.00000;   196.74043;
    49.00000;     0.00000;     0.00000;     0.00000;     0.00000;   196.74043;
    43.00000;     0.00000;     0.00000;     0.00000;     0.00000;   196.74043;
    40.00000;     0.00000;     0.00000;     0.00000;     0.00000;   196.74043;
    40.00000;     0.00000;     0.00000;     0.00000;     0.00000;   196.74043;
    42.00000;     0.00000;     0.00000;     0.00000;     0.00000;   196.74043;
    36.00000;     0.25000;     0.25000;     0.00000;   -10.90909;   185.83134;
    44.00000;     0.00000;     0.00000;     0.24998;    10.99923;   196.83057;
    40.00000;     0.00000;     0.00000;     0.00000;     0.00000;   196.83057;
    33.00000;     0.00000;     0.00000;     0.00000;     0.00000;   196.83057;
    27.00000;     0.00011;     0.00011;     0.00000;    -0.00344;   196.82713;
    22.00000;     0.25011;     0.25000;     0.00000;    -6.66667;   190.16047;
    19.00000;     0.50009;     0.25000;     0.00000;    -5.75758;   184.40289;
     3.00000;     0.75005;     0.25000;     0.00000;    -0.90909;   183.49380;
    22.00000;     1.00000;     0.25000;     0.00000;    -6.66667;   176.82713;
    33.00000;     1.00000;     0.00007;     0.00000;    -0.00280;   176.82433;
    46.00000;     0.99993;     0.00000;     0.00000;     0.00000;   176.82433;
    47.00000;     0.74986;     0.00000;     0.25000;    11.75000;   188.57433;
    47.00000;     0.49981;     0.00000;     0.25000;    11.75000;   200.32433;
    44.00000;     0.49977;     0.00000;     0.00000;     0.00000;   200.32433;
    40.00000;     0.49974;     0.00000;     0.00000;     0.00000;   200.32433;
    33.00000;     0.74970;     0.25000;     0.00000;   -10.00000;   190.32433;
    33.00000;     0.99965;     0.25000;     0.00000;   -10.00000;   180.32433;
    38.00000;     1.00000;     0.00042;     0.00000;    -0.01934;   180.30499;
    51.00000;     0.74993;     0.00000;     0.25000;    12.75000;   193.05499;
    49.00000;     0.49988;     0.00000;     0.25000;    12.25000;   205.30499;
    48.00000;     0.24984;     0.00000;     0.25000;    12.00000;   217.30499;
    41.00000;     0.24983;     0.00000;     0.00000;     0.00000;   217.30499;
    44.00000;     0.24981;     0.00000;     0.00000;     0.00000;   217.30499;
    48.00000;     0.00000;     0.00000;     0.24979;    11.98992;   229.29491;
    33.00000;     0.25000;     0.25000;     0.00000;   -10.00000;   219.29491;
    46.00000;     0.00000;     0.00000;     0.24998;    11.49920;   230.79411;
    32.00000;     0.00000;     0.00000;     0.00000;     0.00000;   230.79411;
    25.00000;     0.00000;     0.00000;     0.00000;     0.00000;   230.79411;
    19.00000;     0.00000;     0.00000;     0.00000;     0.00000;   230.79411;
    19.00000;     0.00011;     0.00011;     0.00000;    -0.00242;   230.79169;
     3.00000;     0.25011;     0.25000;     0.00000;    -0.90909;   229.88260;
   -10.00000;     0.50009;     0.25000;     0.00000;     3.03030;   232.91290;
    -1.00000;     0.75005;     0.25000;     0.00000;     0.30303;   233.21593;
    11.00000;     1.00000;     0.25000;     0.00000;    -3.33333;   229.88260;
    24.00000;     1.00000;     0.00007;     0.00000;    -0.00204;   229.88056;
    43.00000;     0.99993;     0.00000;     0.00000;     0.00000;   229.88056;
    46.00000;     0.74986;     0.00000;     0.25000;    11.50000;   241.38056;
    45.00000;     0.49981;     0.00000;     0.25000;    11.25000;   252.63056;
    36.00000;     0.50009;     0.00031;     0.00000;    -0.01374;   252.61682;
    32.00000;     0.75005;     0.25000;     0.00000;    -9.69697;   242.91985;
    30.00000;     1.00000;     0.25000;     0.00000;    -9.09091;   233.82894;
    41.00000;     1.00000;     0.00007;     0.00000;    -0.00348;   233.82546;
    57.00000;     0.74993;     0.00000;     0.25000;    14.25000;   248.07546;
    60.00000;     0.49988;     0.00000;     0.25000;    15.00000;   263.07546;
    53.00000;     0.24984;     0.00000;     0.25000;    13.25000;   276.32546;
    43.00000;     0.24983;     0.00000;     0.00000;     0.00000;   276.32546;
    45.00000;     0.24981;     0.00000;     0.00000;     0.00000;   276.32546;
    50.00000;     0.00000;     0.00000;     0.24979;    12.48950;   288.81496;
    38.00000;     0.00000;     0.00000;     0.00000;     0.00000;   288.81496;
    40.00000;     0.00000;     0.00000;     0.00000;     0.00000;   288.81496;
    34.00000;     0.00000;     0.00000;     0.00000;     0.00000;   288.81496;
    28.00000;     0.00011;     0.00011;     0.00000;    -0.00356;   288.81140;
    21.00000;     0.25011;     0.25000;     0.00000;    -6.36364;   282.44776;
    21.00000;     0.50009;     0.25000;     0.00000;    -6.36364;   276.08413;
    20.00000;     0.75005;     0.25000;     0.00000;    -6.06061;   270.02352;
    20.00000;     1.00000;     0.25000;     0.00000;    -6.06061;   263.96291;
    49.00000;     0.99993;     0.00000;     0.00000;     0.00000;   263.96291;
    51.00000;     0.99986;     0.00000;     0.00000;     0.00000;   263.96291;
    50.00000;     0.99979;     0.00000;     0.00000;     0.00000;   263.96291;
